pl_name,hostname,x,y,z,last_updated
HD 167677 b,HD 167677,-220252478831.0157,-363715318043.94995,169603238192.17484,2023-09-05
HD 168443 c,HD 168443,-231479298833.747,-8327135850.494737,391656705842.4865,2023-06-12
HD 16905 b,HD 16905,148845206067.34665,430019538505.3534,400999706990.1971,2023-09-05
HD 169830 c,HD 169830,-120047423987.58873,-444067781821.31464,179415029904.2557,2023-09-05
HD 171238 b,HD 171238,-502651274742.6552,-71810798532.84822,-24866718525.850883,2022-06-27
HD 18015 b,HD 18015,15125971642.300177,202492602175.30295,527511263608.27386,2023-06-12
HD 181234 b,HD 181234,-218883085655.76007,-98438193856.08446,640902302486.353,2023-06-12
HD 18143 c,HD 18143,2091871714387.9255,268203327439.90497,194718120215.97263,2023-06-12
HD 183263 c,HD 183263,607552349702.1812,146933266423.1664,503059202277.6045,2023-06-12
HD 183579 b,HD 183579,7040498749.821281,278691919.77938354,17939984814.358727,2024-08-29
HD 185283 b,HD 185283,494421082472.2373,-7368965829.634115,422167769638.11664,2023-09-05
HD 190228 b,HD 190228,-543044541768.8286,-8123207973.76011,93091959479.3339,2023-06-12
HD 190360 b,HD 190360,-431972455731.20435,85578277094.39171,495445381136.8203,2022-09-19
HD 190984 b,HD 190984,240511908186.56827,143725106852.72495,294680138711.53674,2024-04-19
HD 191806 b,HD 191806,-289848301400.365,166179621459.0175,320592989187.8472,2023-06-12
HD 192310 c,HD 192310,-230941487145.3247,1.5657496300323166e-06,25570631975.23486,2015-07-01
HD 196050 b,HD 196050,-233099141745.35495,266048477601.2258,239551125211.42697,2023-09-05
HD 196067 b,HD 196067,-868457732834.976,368491322830.58075,322589767459.4483,2022-06-27
HD 202206 c,HD 202206,-127710393685.55827,-345377745690.72437,-46696903324.68339,2018-05-22
HD 202696 b,HD 202696,224190482547.13406,3.6019012128203717e-06,58823510833.134186,2019-01-14
HD 202696 c,HD 202696,70312019065.16054,2.0876869780667555e-05,340945157333.5732,2019-01-14
HD 204313 b,HD 204313,-40040451759.34517,209502782027.3137,429544358812.1512,2023-06-12
HD 204313 e,HD 204313,2165880944162.0889,63937715177.734055,110743371207.7031,2024-04-19
HD 213240 b,HD 213240,-401388710939.66595,-25050234559.7481,-49163853512.32981,2023-06-12
HD 214823 b,HD 214823,-167367008664.6453,-73582328310.6017,439239700035.65436,2023-06-12
HD 21520 b,HD 21520,22824095553.429737,-162258673.59570408,-12072957782.264952,2024-09-13
HD 215497 c,HD 215497,-218473385394.05176,-8.096083662540432e-06,-132219080116.44241,2023-09-05
HD 216437 b,HD 216437,-313092059597.3685,-267676020663.34644,167262541553.57303,2023-09-05
HD 217786 b,HD 217786,-393296719868.3078,185779372362.34326,87421136819.74925,2023-06-12
HD 219077 b,HD 219077,-433874604061.2192,-1696262524.9556413,546002084010.267,2023-06-12
HD 219828 c,HD 219828,-569166980685.4221,-265740910412.44852,412096400054.66266,2023-06-12
HD 220689 b,HD 220689,69191587101.7884,164000808793.03644,476292932844.369,2023-06-12
HD 221420 b,HD 221420,1271004387729.3022,401549683663.318,100117580670.08606,2023-09-05
HD 222155 b,HD 222155,298455995431.7907,211200973220.72757,522740752247.3501,2023-06-12
HD 222237 b,HD 222237,710849982708.6273,6729860909.301797,7991966754.326824,2024-09-28
HD 224538 b,HD 224538,-509637978589.92084,105721611064.64175,80247070480.49008,2023-06-12
HD 23596 b,HD 23596,-349565443649.5876,243984684884.34573,196856761127.62152,2023-06-12
HD 25015 b,HD 25015,417938446180.79614,488541263247.63104,301729233871.24634,2023-06-12
HD 26161 b,HD 26161,-695945472522.9034,262728698216.8795,447059063575.40314,2023-06-12
HD 27631 b,HD 27631,-70825504263.50778,130985351352.78882,456800206239.2921,2023-06-12
HD 27894 d,HD 27894,247275891271.16705,-114231018007.88176,560262043320.0659,2023-06-12
HD 28185 c,HD 28185,1696881995584.2183,203846106319.55005,321830504178.23376,2023-06-12
HD 28254 b,HD 28254,-628889694930.4617,-69990371927.28842,22741250385.842697,2023-09-05
HD 29021 b,HD 29021,-460941307232.49225,-115990239348.8942,-77355873634.33966,2022-06-27
HD 30177 b,HD 30177,-22262132776.580116,41781875017.55711,518507422648.0624,2023-06-12
HD 30177 c,HD 30177,1423184979281.3936,-54965107341.856186,390306178455.4991,2023-06-12
HD 30562 b,HD 30562,-585538691658.4503,28770769943.88806,61699115253.05635,2023-06-12
HD 3167 b,HD 3167,2262012730.6977515,166650094.07864115,1440314677.4788074,2023-04-17
HD 32963 b,HD 32963,18259206551.41608,474589328217.0863,166198819084.37994,2023-06-12
HD 38529 c,HD 38529,-266524595809.20792,-111141390747.99542,427933509325.5819,2023-06-12
HD 39091 b,HD 39091,-533899482550.2581,198791586720.07153,278038068162.3152,2023-06-12
HD 43197 c,HD 43197,995578462248.5863,460547384588.3031,93029951197.90776,2023-06-12
HD 44219 b,HD 44219,-44298729961.004776,-1.036490598007993e-05,-169271760434.05136,2023-09-05
HD 50554 b,HD 50554,-478224924597.47186,69290450873.7265,125003282360.49113,2023-06-12
HD 55696 b,HD 55696,-609220143361.0692,136491363694.03062,210178268815.7115,2023-06-12
HD 62364 b,HD 62364,-60046693182.16746,471876300625.5334,424879329491.5336,2023-09-05
HD 62364 c,HD 62364,1180696604487.8882,449697740946.7324,361424141131.0223,2023-06-12
HD 63433 d,HD 63433,-8424236050.838003,46368295.91626372,2091553188.4762385,2024-01-05
HD 66428 b,HD 66428,-350722819519.4268,418795271354.82446,125158754817.44766,2023-06-12
HD 66428 c,HD 66428,1024762374800.5736,-33510948786.36969,486798270628.9392,2023-06-12
HD 68402 b,HD 68402,-380107735129.12067,127040752997.10805,46993801494.89358,2023-06-12
HD 69123 b,HD 69123,-435448192515.65125,38731880985.136185,106414968419.66548,2023-06-12
HD 70642 b,HD 70642,24442581817.579014,425262305576.44366,244536671488.94977,2023-06-12
HD 72659 b,HD 72659,151093881963.4464,128540260571.39082,583808646599.7832,2023-06-12
HD 72659 c,HD 72659,1863526564913.4639,365909610928.4226,93126377114.44188,2023-06-12
HD 73256 c,HD 73256,185908265003.02408,428656870004.079,237608383010.67392,2023-09-05
HD 73267 b,HD 73267,-363712955662.61816,-117504518548.19685,135923929325.84717,2023-06-12
HD 73267 c,HD 73267,1418810245075.7314,36836780031.52412,137476734664.8867,2024-04-19
HD 73344 b,HD 73344,-19935747210.80711,104341492.14767729,3115794499.505426,2024-06-10
HD 73583 b,HD 73583,-10415599638.200134,-40953274.45092126,-4266141291.358007,2024-02-21
HD 73583 c,HD 73583,14525296922.11687,59269327.11025246,8707256029.433668,2024-02-21
HD 74156 c,HD 74156,-229039368017.0087,-255864040987.82355,440289859453.43915,2023-06-12
HD 7449 b,HD 7449,-603801679207.6573,-101941286621.9628,14997025782.5502,2023-06-12
HD 75302 b,HD 75302,198304283029.72235,490593918329.88885,271940649517.9379,2023-09-05
HD 80869 b,HD 80869,-682957227894.6465,52914910328.514534,137848054256.06628,2023-06-12
HD 81817 b,HD 81817,-523877504347.55023,-7779927863.59587,79431491054.80302,2023-06-12
HD 86264 b,HD 86264,-673027471805.0984,117397834649.74962,117397834649.74962,2023-06-12
HD 8673 b,HD 8673,-637017831354.5925,-20491021647.457405,214771748298.56,2023-06-12
HD 87883 b,HD 87883,-458955689909.5101,386920793560.2512,184104325184.73703,2023-06-12
HD 88133 b,HD 88133,343343137.374783,-6736925600.946509,-1805153774.242173,2018-12-03
HD 88986 b,HD 88986,25182667382.759163,124645155.14887643,71416340752.21503,2023-12-04
HD 89307 b,HD 89307,-80691992705.59763,151628562944.81384,466664731940.79517,2023-06-12
HD 89839 b,HD 89839,325375280936.5685,-345837893228.7283,427074230970.22943,2023-09-05
HD 95544 b,HD 95544,-3305936141.5642185,28879100525.45705,471763741944.03033,2023-06-12
HD 98649 b,HD 98649,-586778762655.2675,96288700039.15996,487991875835.1483,2023-06-12
HIP 113103 b,HIP 113103,-11951608547.004702,48520704.0995034,1570139630.6851897,2023-09-19
HIP 116454 b,HIP 116454,-10662387328.796135,160385350.797926,8429628506.808698,2024-10-03
HIP 21152 b,HIP 21152,1512567458350.3574,-65182337616.91427,702644264204.9437,2022-12-05
HIP 35965 b,HIP 35965,2028806560802.055,227541448791.40787,217428135940.52884,2023-06-12
HIP 39017 b,HIP 39017,1477977454565.0835,22200045077.889988,211219319771.21558,2024-04-19
HIP 54597 b,HIP 54597,405303874064.0443,-185351688786.6485,380027279562.47546,2023-09-05
HIP 55507 b,HIP 55507,218786076740.07614,-379082403625.9313,378791400961.1276,2023-06-12
HIP 56640 b,HIP 56640,120064120452.1594,399006599384.3244,353011219199.8639,2023-06-12
HIP 65891 b,HIP 65891,-452693982193.6286,2202723998.226324,122875629955.24353,2023-06-12
HIP 66074 b,HIP 66074,-125875112330.46494,36862722362.10651,8510430031.703375,2023-10-24
HIP 67522 b,HIP 67522,1828670211.9060218,22775539.44351925,10874503151.730038,2024-09-28
HIP 67522 c,HIP 67522,-18174361642.513317,-104728112.72286038,-7500111136.132838,2024-09-28
HIP 67537 b,HIP 67537,-570951221625.5864,343473171424.81146,472750263316.0066,2023-06-12
HIP 70849 b,HIP 70849,-240419453612.2631,-45943102932.12917,437119425454.13983,2023-09-05
HIP 8541 b,HIP 8541,-234750329215.8774,109248736738.32869,357336516626.6469,2023-06-12
HIP 948 b,HIP 948,1705005278265.9355,-121482796427.63817,316506526517.6095,2023-06-12
HIP 97233 b,HIP 97233,-592223942597.2253,24624976504.88781,42651710441.65555,2023-06-12
HIP 99770 b,HIP 99770,1823174789036.9375,-495278168046.53217,309484147882.0755,2023-04-17
HR 5183 b,HR 5183,93393270726.82463,119897620088.94485,701429967647.1624,2023-06-12
HR 8799 c,HR 8799,2057835245114.15,1993149153843.2979,1501945617337.5742,2016-08-04
KELT-24 b,KELT-24,5983695009.6832075,-44317568.358128816,-7694489538.016849,2024-08-29
Kepler-21 b,Kepler-21,-6436670673.374376,-100723076.96956477,-844689098.9518164,2023-04-17
L 168-9 b,L 168-9,-3081479550.793814,43178808.39883609,430315919.92954314,2024-08-30
MASCARA-1 b,MASCARA-1,-5802300062.60538,-145360514.1127784,-2773643838.7843633,2023-01-18
PZ Tel b,PZ Tel,1886224419426.8772,-16753378369.899258,554685633441.223,2023-04-10
TOI-431 c,TOI-431,7337978769.496796,-164414463.7889567,-2577399484.463224,2021-08-16
Wolf 503 b,Wolf 503,-9871482746.458454,-11778002.393924575,-5190989771.159204,2023-04-17
bet Pic b,bet Pic,1227104691210.747,9807002120.844494,566946314452.6027,2023-06-12
bet Pic c,bet Pic,-483362498411.58704,3167519349.198511,172331487915.61163,2023-06-12
eps Eri b,eps Eri,-242159480437.42703,94198106095.98201,476171363984.1579,2022-07-18
iot Dra c,iot Dra,1354898302665.7773,69868794733.53786,999170315243.0347,2022-05-03
nu Oct A b,nu Oct A,-206870602573.8899,4913393487.872366,-11861981195.697113,2023-01-18
